ID;Name;First_name;Last_name;Birthdate;Age;Age_int;Age_years;Residence_municipality;Residence_Province;Gender;Marital_status;Educational_attainment;Workforce;Professional_segment;Nr_missing_values;Contract_length
5678;Melike  Brand;Melike;Brand;22-5-1994;24,78272123;24;24 jaar;Amsterdam;Noord-Holland;vrouw;Ongehuwd;Basisonderwijs;1;033 Verkopers;0;6,2
5679;Ruud  Swinkels;Ruud;Swinkels;4-12-1961;57,26591755;57;57 jaar;Mill en Sint Hubert;Noord-Brabant;man;Gehuwd;Mbo2 en mbo3;1;073 Bouwarbeiders;0;1,09
5680;Audrey  Vreeswijk;Audrey;Vreeswijk;27-11-1975;43,27699429;43;43 jaar;Krimpenerwaard;Zuid-Holland;vrouw;Ongehuwd;Hbo-, wo-master, doctor;1;032 Vertegenwoordigers en inkopers;0;2,98
5681;Wesley van Hoek;Wesley;van Hoek;31-7-1987;31,59535461;31;31 jaar;Deventer;Overijssel;man;Gehuwd;;;;2;1,14
5682;Max van Erp;Max;van Erp;23-4-1956;62,88741645;62;62 jaar;Amsterdam;Noord-Holland;man;Gehuwd;Hbo-, wo-master, doctor;0;;0;2,21
5683;Bob  Wassenberg;Bob;Wassenberg;7-3-1938;81,02753226;81;81 jaar;'s-Gravenhage (gemeente);Zuid-Holland;man;Gehuwd;Hbo-, wo-bachelor;0;;0;1,1
5684;Ella  Leliveld;Ella;Leliveld;11-9-1955;63,50144517;63;63 jaar;Twenterand;Overijssel;vrouw;;;;;3;4,48
5685;Johannes  Valkenburg;Johannes;Valkenburg;13-7-1955;63,66639162;63;63 jaar;Zoetermeer;Zuid-Holland;man;Gehuwd;Havo, vwo;1;131 Beroepssegment overig;0;4,94
5686;Amanda  Mulders;Amanda;Mulders;24-7-1961;57,63120454;57;57 jaar;Gooise Meren;Noord-Holland;vrouw;Verweduwd;Hbo-, wo-master, doctor;1;061 Overheidsambtenaren en -bestuurders;0;12,97
5687;Jasper  Hommel;Jasper;Hommel;21-11-1996;22,27893931;22;22 jaar;'s-Gravenhage (gemeente);Zuid-Holland;man;Ongehuwd;Mbo4;1;111 Medewerkers persoonlijke dienstve...;0;3,7
5688;Annelie van der Schaaf;Annelie;van der Schaaf;11-6-1989;29,73058849;29;29 jaar;Rotterdam;Zuid-Holland;vrouw;Ongehuwd;Vmbo-b/k, mbo1;1;043 Administratief personeel;0;11,15
5689;Jesse  Raemaekers;Jesse;Raemaekers;15-10-1967;51,40128754;51;51 jaar;Peel en Maas;Limburg;anders;Gescheiden;;1;105 Verzorgenden;1;8,36
5690;Lindsay  Kwakkel;Lindsay;Kwakkel;6-8-1960;58,595564;58;58 jaar;Wageningen;Gelderland;;;;;;4;1,22
5691;Iris  Hellemons;Iris;Hellemons;17-9-1999;19,45513992;19;19 jaar;Smallingerland;Friesland;vrouw;Ongehuwd;Vmbo-g/t, havo-, vwo-onderbouw;0;;0;1,1
5692;Dingena  Hollander;Dingena;Hollander;2-7-1971;47,68505477;47;47 jaar;Schagen;Noord-Holland;vrouw;;Vmbo-g/t, havo-, vwo-onderbouw;;;2;1,79
5693;Maaike van Abeelen;Maaike;van Abeelen;29-5-1997;21,75909689;21;21 jaar;Cromstrijen;Zuid-Holland;vrouw;Ongehuwd;Vmbo-g/t, havo-, vwo-onderbouw;1;078 Hulpkrachten bouw en industrie;0;1,81
5694;Isa  Paas;Isa;Paas;27-2-1981;38,0205758;38;38 jaar;Boekel;Noord-Brabant;;;;;;4;0,39
5695;Jo-Anne den Engelsman;Jo-Anne;den Engelsman;10-12-1995;23,22896982;23;23 jaar;Beek (L.);Limburg;;;Havo, vwo;;;3;4,65
5696;Mees  Edwards;Mees;Edwards;22-11-1947;71,31159012;71;71 jaar;Terschelling;Friesland;;Gehuwd;;;;3;14,01
5697;Lieke de Boer;Lieke;de Boer;21-3-1998;20,94811345;20;20 jaar;Sint Anthonis;Noord-Brabant;;;;;;4;2,22
5698;Vera  Vastenburg;Vera;Vastenburg;20-9-1940;78,48678255;78;78 jaar;Alphen aan den Rijn;Zuid-Holland;vrouw;;;0;;2;1,09
5699;Iris  Lamens;Iris;Lamens;24-5-1985;33,78120936;33;33 jaar;Roermond;Limburg;vrouw;Ongehuwd;Mbo4;1;101 Artsen, therapeuten en gespeciali...;0;15,2
5700;Amina van de Scheur;Amina;van de Scheur;22-7-1952;66,6437487;66;66 jaar;Dongeradeel;Friesland;vrouw;Verweduwd;Vmbo-b/k, mbo1;1;131 Beroepssegment overig;0;19,86
5701;Marise  Bogers;Marise;Bogers;27-11-1946;72,29728313;72;72 jaar;Bergen op Zoom;Noord-Brabant;vrouw;Gehuwd;Vmbo-b/k, mbo1;0;;0;0,82
5702;Willemijntje  Hamming;Willemijntje;Hamming;20-10-1989;29,37207025;29;29 jaar;Nijmegen;Gelderland;vrouw;Ongehuwd;Hbo-, wo-bachelor;1;033 Verkopers;0;1,97
5703;Sanne  Kuijpers;Sanne;Kuijpers;17-2-1983;36,04928694;36;36 jaar;Rotterdam;Zuid-Holland;vrouw;Ongehuwd;Hbo-, wo-bachelor;1;043 Administratief personeel;0;4,49
5704;Jan  Gankema;Jan;Gankema;26-4-1976;42,86547299;42;42 jaar;Amsterdam;Noord-Holland;man;Ongehuwd;Hbo-, wo-bachelor;1;021 Auteurs en kunstenaars;0;2,03
5705;Vanessa  Glorie;Vanessa;Glorie;6-5-1971;47,84348382;47;47 jaar;Echt-Susteren;Limburg;;Gehuwd;Hbo-, wo-bachelor;1;013 Leidsters kinderopvang en onderwi.;1;2,08
5706;Johanna  Harreman;Johanna;Harreman;9-5-1962;56,84068168;56;56 jaar;Groningen (gemeente);Groningen;vrouw;Gescheiden;Vmbo-b/k, mbo1;1;111 Medewerkers persoonlijke dienstve...;0;8,88
5707;Salma van Mullem;Salma;van Mullem;3-12-1947;71,2809229;71;71 jaar;Smallingerland;Friesland;vrouw;Gehuwd;Mbo2 en mbo3;0;;0;0,99
5708;Jarno de Hoon;Jarno;de Hoon;25-10-1933;85,39566447;85;85 jaar;Waadhoeke;Friesland;man;;Basisonderwijs;0;;1;1
5709;Nicole  Verhaar;Nicole;Verhaar;10-9-1950;68,50913411;68;68 jaar;Haarlem;Noord-Holland;vrouw;Gehuwd;Vmbo-b/k, mbo1;1;042 Vakspecialisten bedrijfsbeheer en...;0;6,12
5710;Ryan  Vinke;Ryan;Vinke;4-5-1958;60,85719943;60;60 jaar;Enschede;Overijssel;;;;;;4;2,61
5711;Max  Jansen;Max;Jansen;27-7-1961;57,6226652;57;57 jaar;Maastricht;Limburg;man;Gehuwd;Hbo-, wo-bachelor;1;075 Voedselverwerkende beroepen en ov...;0;6,96
5712;Floris  Draaisma;Floris;Draaisma;29-1-1963;56,11425585;56;56 jaar;Stichtse Vecht;Utrecht;man;Gehuwd;Hbo-, wo-bachelor;1;121 Bestuurders voertuigen en bediene...;0;17,07
5713;Stefan  Dudink;Stefan;Dudink;12-11-1970;48,32230801;48;48 jaar;Amersfoort;Utrecht;man;Gehuwd;Hbo-, wo-master, doctor;1;082 Vakspecialisten ICT;0;2,46
5714;Kyan de Jong;Kyan;de Jong;12-5-1996;22,80587773;22;22 jaar;Cuijk;Noord-Brabant;man;Ongehuwd;Vmbo-g/t, havo-, vwo-onderbouw;0;;0;0,99
5715;Matin  Kemmeren;Matin;Kemmeren;23-8-1992;26,52648598;26;26 jaar;Nissewaard;Zuid-Holland;man;Ongehuwd;Havo, vwo;1;071 Ingenieurs en onderzoekers wis.;0;0,99
5716;Dineke  Traas;Dineke;Traas;21-8-1953;65,55939774;65;65 jaar;Peel en Maas;Limburg;vrouw;Verweduwd;Vmbo-b/k, mbo1;0;;0;0,85
5717;Hendrik  Oostra;Hendrik;Oostra;26-4-1952;66,8805643;66;66 jaar;Haarlem;Noord-Holland;man;;Basisonderwijs;1;032 Vertegenwoordigers en inkopers;1;16,03
5718;Selena  Eichelsheim;Selena;Eichelsheim;2-8-1951;67,61469211;67;67 jaar;Nunspeet;Gelderland;vrouw;Gehuwd;Vmbo-g/t, havo-, vwo-onderbouw;0;;0;0,62
5719;Ruben  Lagarde;Ruben;Lagarde;23-11-1950;68,30525522;68;68 jaar;Gemert-Bakel;Noord-Brabant;man;Gehuwd;Mbo2 en mbo3;0;;0;0,85
5720;Sharon  Harms;Sharon;Harms;16-9-1941;77,49743844;77;77 jaar;Rotterdam;Zuid-Holland;;Gehuwd;;;;3;1,08
5721;Giacomo  Hoekstra;Giacomo;Hoekstra;8-11-1998;20,31419193;20;20 jaar;Leiden;Zuid-Holland;man;Ongehuwd;Vmbo-b/k, mbo1;1;072 Vakspecialisten natuur en techniek;0;1,59
5722;Elizabeth  Franssen;Elizabeth;Franssen;21-8-1970;48,54998821;48;48 jaar;'s-Gravenhage (gemeente);Zuid-Holland;vrouw;Ongehuwd;Mbo2 en mbo3;1;061 Overheidsambtenaren en -bestuurders;0;1,86
5723;Michelle de Jonge;Michelle;de Jonge;29-7-1996;22,59447618;22;22 jaar;Ridderkerk;Zuid-Holland;vrouw;;;;;3;4,02
5724;Rutger  Vervloet;Rutger;Vervloet;2-1-1965;54,18384734;54;54 jaar;Amsterdam;Noord-Holland;man;Gehuwd;Vmbo-g/t, havo-, vwo-onderbouw;1;081 Specialisten ICT;0;14,58
5725;Zoëy  Oskam;Zoëy;Oskam;10-6-1948;70,75914884;70;70 jaar;Eemsmond;Groningen;vrouw;;Vmbo-b/k, mbo1;0;;1;1,21
5726;Thomas  Land;Thomas;Land;26-8-1987;31,52515677;31;31 jaar;Utrecht (gemeente);Utrecht;man;Gescheiden;Vmbo-b/k, mbo1;1;082 Vakspecialisten ICT;0;4,56
5727;Sarah  Bezuijen;Sarah;Bezuijen;3-6-1999;19,74734228;19;19 jaar;Peel en Maas;Limburg;vrouw;Ongehuwd;Mbo4;1;105 Verzorgenden;0;1,02
5728;Nick  Beekman;Nick;Beekman;2-10-1996;22,41552936;22;22 jaar;Aa en Hunze;Drenthe;man;Ongehuwd;Vmbo-b/k, mbo1;0;;0;1,59
5729;Salina  Woutersen;Salina;Woutersen;9-10-1949;69,42852457;69;69 jaar;Medemblik;Noord-Holland;;;;;;4;15,53
5730;Roan  Haaijer;Roan;Haaijer;27-1-1985;34,10341225;34;34 jaar;Steenwijkerland;Overijssel;;;;;;4;4,9
5731;Michelle van Dommelen;Michelle;van Dommelen;10-4-1988;30,89973186;30;30 jaar;Amsterdam;Noord-Holland;vrouw;Gehuwd;Hbo-, wo-master, doctor;1;022 Vakspecialisten op artistiek en c.;0;12,32
5732;Claudia  Bouwmeester;Claudia;Bouwmeester;20-9-1961;57,47210966;57;57 jaar;Tilburg;Noord-Brabant;vrouw;Ongehuwd;;0;;1;4,58
5733;Nicoline  Vogel;Nicoline;Vogel;26-5-1949;69,80045408;69;69 jaar;Goirle;Noord-Brabant;;;;;;4;13,26
5734;Danique  Wesselman;Danique;Wesselman;13-11-1974;44,31718547;44;44 jaar;Teylingen;Zuid-Holland;vrouw;;Hbo-, wo-master, doctor;0;;1;1,62
5735;Remo  Lekkerkerker;Remo;Lekkerkerker;16-6-1975;43,72749908;43;43 jaar;'s-Hertogenbosch;Noord-Brabant;man;;;1;077 Productiemachinebedieners en asse...;2;3,62
5736;Robine van der Leij;Robine;van der Leij;26-3-1978;40,94952711;40;40 jaar;'s-Gravenhage (gemeente);Zuid-Holland;vrouw;Ongehuwd;Vmbo-g/t, havo-, vwo-onderbouw;1;052 Managers op administratief en com...;0;0,2
5737;Bas  Damstra;Bas;Damstra;10-4-1951;67,92625967;67;67 jaar;'s-Gravenhage (gemeente);Zuid-Holland;man;Gescheiden;Vmbo-g/t, havo-, vwo-onderbouw;0;;0;14,12
5738;Sebastiaan  Maathuis;Sebastiaan;Maathuis;2-7-1997;21,66623866;21;21 jaar;Bergen op Zoom;Noord-Brabant;man;Ongehuwd;Basisonderwijs;0;;0;1,89
5739;Tiffany  Kok;Tiffany;Kok;16-2-1969;50,05852032;50;50 jaar;Beuningen;Gelderland;vrouw;Gehuwd;Hbo-, wo-bachelor;1;062 Juristen;0;2,14
5740;Shirley van Barneveld;Shirley;van Barneveld;27-3-1950;68,96660611;68;68 jaar;Lelystad;Flevoland;vrouw;Gehuwd;Vmbo-b/k, mbo1;1;091 Tuinders, akkerbouwers en veetelers;0;1,64
5741;Gül  Ploeg;Gül;Ploeg;8-5-1996;22,81735508;22;22 jaar;Zundert;Noord-Brabant;;;;1;111 Medewerkers persoonlijke dienstve...;3;0,59
5742;Ömer de Vries;Ömer;de Vries;19-7-1961;57,6439472;57;57 jaar;Heerenveen;Friesland;;;;1;043 Administratief personeel;3;1,64
5743;Esther van Dongen;Esther;van Dongen;1-11-1987;31,34176148;31;31 jaar;Veenendaal;Utrecht;;;;;;4;1,64
5744;Lisanne  Beernink;Lisanne;Beernink;7-7-1923;95,70515236;95;95 jaar;Geertruidenberg;Noord-Brabant;vrouw;;;;;3;1,64
5745;Mika de Jong;Mika;de Jong;8-1-1971;48,16695554;48;48 jaar;Leiden;Zuid-Holland;man;Gehuwd;Vmbo-b/k, mbo1;1;043 Administratief personeel;0;0,94
5746;Arjanne van der Ploeg;Arjanne;van der Ploeg;29-10-1930;88,38893842;88;88 jaar;Tilburg;Noord-Brabant;;;;;;4;4,59
5747;Karlijn  Zwarts;Karlijn;Zwarts;17-8-1979;39,55527674;39;39 jaar;Berkelland;Gelderland;vrouw;Gehuwd;Mbo4;1;103 Vakspecialisten gezondheidszorg;0;0,12
5748;Ties  Broekmeulen;Ties;Broekmeulen;26-7-1973;45,61796817;45;45 jaar;Amstelveen;Noord-Holland;man;Gehuwd;Mbo4;1;081 Specialisten ICT;0;8,59
5749;Rosalie  Moerman;Rosalie;Moerman;29-4-1991;27,84855291;27;27 jaar;Lochem;Gelderland;vrouw;Ongehuwd;Hbo-, wo-master, doctor;1;021 Auteurs en kunstenaars;0;3
5750;Dylan van der Linden;Dylan;van der Linden;13-9-1961;57,49175596;57;57 jaar;Ede;Gelderland;man;Gehuwd;Mbo2 en mbo3;1;076 Elektriciens en elektronicamonteurs;0;0,04
5751;Erik  Brugman;Erik;Brugman;2-9-1991;27,50173541;27;27 jaar;'s-Gravenhage (gemeente);Zuid-Holland;;;;;;4;2,1
5752;Sander  Meijer;Sander;Meijer;30-5-1958;60,7859686;60;60 jaar;Tiel;Gelderland;man;Gehuwd;Hbo-, wo-master, doctor;0;;0;0,98
5753;Jurgen  Bakker;Jurgen;Bakker;21-2-1974;45,04270143;45;45 jaar;Zutphen;Gelderland;;;;;;4;4,98
5754;Teunis  Kroes;Teunis;Kroes;31-1-1993;26,08552814;26;26 jaar;'s-Gravenhage (gemeente);Zuid-Holland;man;Ongehuwd;Hbo-, wo-bachelor;1;081 Specialisten ICT;0;1,31
5755;Kari van der Kolk;Kari;van der Kolk;26-6-1958;60,71186205;60;60 jaar;Huizen;Noord-Holland;vrouw;Gescheiden;Mbo2 en mbo3;0;;0;12,06
5756;David  Damen;David;Damen;27-2-1932;87,0554798;87;87 jaar;Ouder-Amstel;Noord-Holland;man;Verweduwd;Mbo4;0;;0;0,3
5757;Nicole  Scholtens;Nicole;Scholtens;9-5-1977;41,82946858;41;41 jaar;Amsterdam;Noord-Holland;vrouw;Gehuwd;Hbo-, wo-bachelor;1;043 Administratief personeel;0;1,24
5758;Amina van Bergen;Amina;van Bergen;16-12-1986;32,21755837;32;32 jaar;Rotterdam;Zuid-Holland;vrouw;Ongehuwd;Mbo4;1;111 Medewerkers persoonlijke dienstve...;0;0,11
5759;Cedric de Boer;Cedric;de Boer;9-1-1975;44,15944933;44;44 jaar;Zaanstad;Noord-Holland;;;;;;4;0,57
5760;Suzette van der Heide;Suzette;van der Heide;22-12-1943;75,23159345;75;75 jaar;Veenendaal;Utrecht;;Gehuwd;;0;;2;0,58
5761;Dagmar  Streefkerk;Dagmar;Streefkerk;11-3-1972;46,9936876;46;46 jaar;Dongeradeel;Friesland;vrouw;Gehuwd;Mbo4;;;1;10,42
5762;Elmar  Schilder;Elmar;Schilder;17-6-1954;64,73703741;64;64 jaar;Stadskanaal;Groningen;man;Gehuwd;Mbo2 en mbo3;1;043 Administratief personeel;0;3,01
5763;Myrthe  Beelen;Myrthe;Beelen;7-5-1937;81,86197924;81;81 jaar;Midden-Groningen;Groningen;vrouw;Gescheiden;Hbo-, wo-master, doctor;0;;0;3,16
5764;Nick  Bollen;Nick;Bollen;28-11-1993;25,26290235;25;25 jaar;Rotterdam;Zuid-Holland;man;Ongehuwd;Hbo-, wo-bachelor;1;043 Administratief personeel;0;1,14
5765;Gina  Uysal;Gina;Uysal;4-3-1977;42,00931279;42;42 jaar;Aalsmeer;Noord-Holland;vrouw;;;1;033 Verkopers;2;19,89
5766;Joni  Korevaar;Joni;Korevaar;13-2-1949;70,08201132;70;70 jaar;Haaren;Noord-Brabant;vrouw;Gehuwd;Hbo-, wo-master, doctor;0;;0;0,64
5767;Stef  Oosterhof;Stef;Oosterhof;6-8-1997;21,5723505;21;21 jaar;Stichtse Vecht;Utrecht;;;;;;4;0,39
5768;Cornelia  Hoogeveen;Cornelia;Hoogeveen;17-11-1985;33,29678462;33;33 jaar;Westland;Zuid-Holland;vrouw;Ongehuwd;Mbo4;;;1;1,52
5769;Matthijs  Bakker;Matthijs;Bakker;18-4-1964;54,89458935;54;54 jaar;Tilburg;Noord-Brabant;man;Gehuwd;Hbo-, wo-bachelor;0;;0;17,62
5770;Rida  Kist;Rida;Kist;3-7-1965;53,68500847;53;53 jaar;Duiven;Gelderland;man;;;;;3;1,64
5771;Steven  Haakman;Steven;Haakman;14-9-1950;68,49683284;68;68 jaar;Almere;Flevoland;man;Gehuwd;Mbo4;0;;0;16,96
5772;Florine  Schoutsen;Florine;Schoutsen;3-7-1930;88,7104285;88;88 jaar;Amsterdam;Noord-Holland;vrouw;Gehuwd;Vmbo-b/k, mbo1;0;;0;18,66
5773;Nelson  Kodde;Nelson;Kodde;21-8-1989;29,53445256;29;29 jaar;Enschede;Overijssel;;;;;;4;2,56
5774;Renee van der Weide;Renee;van der Weide;2-7-1935;83,71174058;83;83 jaar;Nunspeet;Gelderland;anders;Gehuwd;Vmbo-b/k, mbo1;0;;0;11,58
5775;Sam  Vernooij;Sam;Vernooij;18-8-1935;83,5822015;83;83 jaar;Sittard-Geleen;Limburg;man;Gehuwd;;;;2;1,98
5776;Meike  Vos;Meike;Vos;31-7-1964;54,60896001;54;54 jaar;Vlissingen;Zeeland;vrouw;Gehuwd;Havo, vwo;0;;0;1,58
5777;Chandra  Los;Chandra;Los;17-12-1979;39,2209043;39;39 jaar;Purmerend;Noord-Holland;vrouw;Gehuwd;Hbo-, wo-bachelor;1;052 Managers op administratief en com...;0;13,07
5778;Hanneke de Lange;Hanneke;de Lange;10-12-1972;46,2436918;46;46 jaar;Leidschendam-Voorburg;Zuid-Holland;vrouw;;;1;101 Artsen, therapeuten en gespeciali...;2;0,05
5779;Tony  Kramer;Tony;Kramer;8-8-1976;42,57837515;42;42 jaar;Krimpen aan den IJssel;Zuid-Holland;man;Ongehuwd;Hbo-, wo-master, doctor;1;053 Managers productie en gespecialis...;0;11,98
5780;Maartje van Rijssel;Maartje;van Rijssel;21-9-1954;64,47526135;64;64 jaar;Utrecht (gemeente);Utrecht;;;;;;4;2,86
5781;Jesse  Besselsen;Jesse;Besselsen;16-1-1987;32,13367442;32;32 jaar;Bernheze;Noord-Brabant;man;Ongehuwd;Vmbo-b/k, mbo1;1;112 Schoonmakers en keukenhulpen;0;2,07
5782;Claire de Groot;Claire;de Groot;31-7-1938;80,62802852;80;80 jaar;'s-Gravenhage (gemeente);Zuid-Holland;vrouw;Gehuwd;Vmbo-g/t, havo-, vwo-onderbouw;0;;0;7,64
5783;Melissa  Westerlaken;Melissa;Westerlaken;11-5-1957;61,83791722;61;61 jaar;Zaltbommel;Gelderland;vrouw;;;;;3;0,41
5784;Stefan van den Broek;Stefan;van den Broek;29-12-1934;84,21669611;84;84 jaar;Assen;Drenthe;man;;Havo, vwo;;;2;2,01
5785;Nathalie  Hardy;Nathalie;Hardy;19-9-1993;25,45445078;25;25 jaar;De Bilt;Utrecht;;;;;;4;0,33
5786;Eline  Kerstens;Eline;Kerstens;3-11-1965;53,35064913;53;53 jaar;Vianen;Utrecht;vrouw;Gescheiden;Mbo4;1;105 Verzorgenden;0;2,97
5787;Mellanie de Rijk;Mellanie;de Rijk;24-8-1957;61,55006081;61;61 jaar;De Fryske Marren;Friesland;vrouw;;;;;3;0,55
5788;Jamie  Janse;Jamie;Janse;28-11-1960;58,28491567;58;58 jaar;Tubbergen;Overijssel;man;Ongehuwd;Hbo-, wo-bachelor;0;;0;4,86
5789;Esha de Lijster;Esha;de Lijster;24-2-1964;55,04340645;55;55 jaar;Eindhoven;Noord-Brabant;vrouw;Ongehuwd;Mbo2 en mbo3;1;103 Vakspecialisten gezondheidszorg;0;7,48
5790;Eline van Wanrooij;Eline;van Wanrooij;27-4-1960;58,87176552;58;58 jaar;Apeldoorn;Gelderland;vrouw;Gehuwd;Mbo4;0;;0;2,04
5791;Mees van Gestel;Mees;van Gestel;11-1-1988;31,14763774;31;31 jaar;Valkenburg aan de Geul;Limburg;man;Ongehuwd;Hbo-, wo-bachelor;1;081 Specialisten ICT;0;1,26
5792;Salim  Berendsen;Salim;Berendsen;23-8-1970;48,54503476;48;48 jaar;Noord-Beveland;Zeeland;man;Gehuwd;Basisonderwijs;1;111 Medewerkers persoonlijke dienstve...;0;16,96
5793;Evi  Kapitein;Evi;Kapitein;1-2-1937;82,12230069;82;82 jaar;Rotterdam;Zuid-Holland;;;;;;4;17,15
5794;Milou  Bavelaar;Milou;Bavelaar;29-10-1985;33,34860978;33;33 jaar;'s-Gravenhage (gemeente);Zuid-Holland;vrouw;Ongehuwd;Hbo-, wo-bachelor;1;105 Verzorgenden;0;0,39
5795;Dennis de Jager;Dennis;de Jager;21-11-1959;59,30566512;59;59 jaar;Haarlemmermeer;Noord-Holland;;;;;;4;10,38
5796;Mirthe  Proost;Mirthe;Proost;3-2-1995;24,07828874;24;24 jaar;Amsterdam;Noord-Holland;vrouw;;Vmbo-g/t, havo-, vwo-onderbouw;;;2;5,5
5797;Thaïsa  Spaans;Thaïsa;Spaans;6-2-1997;22,06805132;22;22 jaar;Sittard-Geleen;Limburg;;;;;;4;0,44
5798;Renske  Baars;Renske;Baars;30-6-1969;49,69285454;49;49 jaar;Utrecht (gemeente);Utrecht;vrouw;Gehuwd;Vmbo-b/k, mbo1;1;043 Administratief personeel;0;3,23
5799;Renate  Brouwer;Renate;Brouwer;2-4-1987;31,92398628;31;31 jaar;Gemert-Bakel;Noord-Brabant;vrouw;Ongehuwd;Hbo-, wo-bachelor;1;075 Voedselverwerkende beroepen en ov...;0;10,36
5800;Bianca  Hofmeijer;Bianca;Hofmeijer;9-5-1996;22,81462933;22;22 jaar;'s-Gravenhage (gemeente);Zuid-Holland;;;;;;4;4,24
5801;Melanie van Hulst;Melanie;van Hulst;31-12-1965;53,18942886;53;53 jaar;'s-Hertogenbosch;Noord-Brabant;vrouw;Gescheiden;Mbo4;0;;0;1
5802;Adriana  Laarhoven;Adriana;Laarhoven;7-4-1970;48,92124582;48;48 jaar;'s-Gravenhage (gemeente);Zuid-Holland;;;;;;4;7
5803;Dano  Verkroost;Dano;Verkroost;15-10-1970;48,39946593;48;48 jaar;Deventer;Overijssel;man;Gehuwd;Mbo2 en mbo3;1;053 Managers productie en gespecialis...;0;2,39
5804;Maartje van der Aalst;Maartje;van der Aalst;20-11-1972;46,29774292;46;46 jaar;Heusden;Noord-Brabant;vrouw;Ongehuwd;Mbo4;1;022 Vakspecialisten op artistiek en c.;0;14,28
5805;Esmée  Pieternella;Esmée;Pieternella;11-6-1998;20,72389441;20;20 jaar;Purmerend;Noord-Holland;;;;;;4;0,7
5806;Maria van Andel;Maria;van Andel;27-3-1970;48,95241554;48;48 jaar;Zeist;Utrecht;vrouw;Ongehuwd;;1;105 Verzorgenden;1;9,52
5807;Laurentius  Kok;Laurentius;Kok;22-11-1999;19,2752949;19;19 jaar;'s-Hertogenbosch;Noord-Brabant;man;Ongehuwd;Mbo2 en mbo3;1;081 Specialisten ICT;0;0,7
5808;Marinus  Wiersma;Marinus;Wiersma;5-9-1978;40,50187023;40;40 jaar;Rotterdam;Zuid-Holland;man;Ongehuwd;Hbo-, wo-master, doctor;1;052 Managers op administratief en com...;0;8,06
5809;Romy  Ibrahim;Romy;Ibrahim;30-9-1992;26,42348402;26;26 jaar;Houten;Utrecht;vrouw;Ongehuwd;;1;042 Vakspecialisten bedrijfsbeheer en...;1;2,6
5810;Joost van der Heijden;Joost;van der Heijden;5-12-1975;43,25485519;43;43 jaar;Rotterdam;Zuid-Holland;;;Hbo-, wo-master, doctor;1;061 Overheidsambtenaren en -bestuurders;2;3,66
5811;Damian van Maren;Damian;van Maren;2-11-1977;41,34356522;41;41 jaar;Edam-Volendam;Noord-Holland;man;Gehuwd;Hbo-, wo-master, doctor;1;081 Specialisten ICT;0;1,62
5812;Robert  Besseling;Robert;Besseling;6-8-1966;52,59227788;52;52 jaar;Amsterdam;Noord-Holland;man;Gescheiden;;;;2;21,32
5813;Hanne van Slooten;Hanne;van Slooten;20-12-1980;38,20858032;38;38 jaar;Leeuwarden;Friesland;vrouw;;Mbo4;1;013 Leidsters kinderopvang en onderwi.;1;6,48
5814;Christiaan de Mooij;Christiaan;de Mooij;7-1-1949;70,18282373;70;70 jaar;Hattem;Gelderland;man;Verweduwd;Hbo-, wo-master, doctor;0;;0;0,37
5815;Birgit  Haarman;Birgit;Haarman;26-12-1970;48,20203405;48;48 jaar;Peel en Maas;Limburg;;;;;;4;2,07
5816;Lisa  Jansen;Lisa;Jansen;19-10-1940;78,40676616;78;78 jaar;Almelo;Overijssel;vrouw;Gehuwd;Vmbo-b/k, mbo1;0;;0;17,45
5817;Cynthia  Melenhorst;Cynthia;Melenhorst;13-12-1969;49,2376505;49;49 jaar;'s-Gravenhage (gemeente);Zuid-Holland;vrouw;Ongehuwd;Havo, vwo;1;112 Schoonmakers en keukenhulpen;0;1,88
5818;Jurgen  Coomans;Jurgen;Coomans;9-7-1997;21,64893746;21;21 jaar;'s-Gravenhage (gemeente);Zuid-Holland;man;Ongehuwd;Mbo4;;;1;3,07
5819;Romy  Schakel;Romy;Schakel;16-5-1987;31,80331807;31;31 jaar;Zeist;Utrecht;vrouw;Ongehuwd;Mbo2 en mbo3;1;071 Ingenieurs en onderzoekers wis.;0;13,23
5820;Jermo  Schuur;Jermo;Schuur;6-10-1964;54,42553464;54;54 jaar;Hardenberg;Overijssel;man;Ongehuwd;Vmbo-g/t, havo-, vwo-onderbouw;1;076 Elektriciens en elektronicamonteurs;0;0,41
5821;Marlies  Visser;Marlies;Visser;21-3-1959;59,97561176;59;59 jaar;Bunnik;Utrecht;vrouw;Gehuwd;Mbo2 en mbo3;1;042 Vakspecialisten bedrijfsbeheer en...;0;1,56
5822;Pedro van der Waal;Pedro;van der Waal;22-7-1999;19,61278575;19;19 jaar;Hoorn;Noord-Holland;man;Ongehuwd;Hbo-, wo-master, doctor;1;112 Schoonmakers en keukenhulpen;0;1,03
5823;Mustafa  Jacobs;Mustafa;Jacobs;4-8-1968;50,59459578;50;50 jaar;Westerveld;Drenthe;man;Gehuwd;Hbo-, wo-bachelor;1;075 Voedselverwerkende beroepen en ov...;0;2,39
5824;Joyce  Nuijten;Joyce;Nuijten;26-2-1988;31,0194697;31;31 jaar;Zwolle;Overijssel;;;;;;4;2,45
5825;Babette  Vink;Babette;Vink;14-7-1999;19,63459579;19;19 jaar;Roerdalen;Limburg;vrouw;Gehuwd;Hbo-, wo-bachelor;1;102 Specialisten op maatschappelijk g...;0;1,06
